date,new_diagnoses,new_deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,0,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,3,0
2020-04-05,5,0
2020-04-06,3,0
2020-04-07,5,0
2020-04-08,7,0
2020-04-09,14,0
2020-04-10,9,0
2020-04-11,9,0
2020-04-12,11,0
2020-04-13,19,0
2020-04-14,16,0
2020-04-15,22,0
2020-04-16,36,0
2020-04-17,31,0
2020-04-18,47,0
2020-04-19,29,0
2020-04-20,71,0
2020-04-21,55,0
2020-04-22,50,0
2020-04-23,51,0
2020-04-24,44,0
2020-04-25,30,0
2020-04-26,46,0
2020-04-27,39,0
2020-04-28,26,0
2020-04-29,34,0
2020-04-30,26,0
2020-05-01,46,0
2020-05-02,22,0
2020-05-03,32,0
2020-05-04,28,0
2020-05-05,31,0
2020-05-06,39,0
2020-05-07,37,0
2020-05-08,38,0
2020-05-09,37,0
2020-05-10,43,0
2020-05-11,24,0
2020-05-12,44,0
2020-05-13,33,0
2020-05-14,37,0
2020-05-15,39,0
2020-05-16,23,0
2020-05-17,34,0
2020-05-18,15,0
2020-05-19,22,0
2020-05-20,28,0
2020-05-21,22,0
2020-05-22,30,0
2020-05-23,32,0
2020-05-24,27,0
2020-05-25,17,0
2020-05-26,19,0
2020-05-27,26,0
2020-05-28,18,0
2020-05-29,30,0
2020-05-30,25,0
2020-05-31,25,0
2020-06-01,20,0
2020-06-02,27,0
2020-06-03,28,0
2020-06-04,25,0
2020-06-05,13,0
2020-06-06,17,0
2020-06-07,19,0
2020-06-08,19,0
2020-06-09,10,0
2020-06-10,22,0
2020-06-11,21,0
2020-06-12,23,0
2020-06-13,17,0
2020-06-14,20,0
2020-06-15,10,0
2020-06-16,7,0
2020-06-17,12,0
2020-06-18,12,0
2020-06-19,7,0
2020-06-20,10,0
2020-06-21,13,0
2020-06-22,10,0
2020-06-23,5,0
2020-06-24,9,0
2020-06-25,5,0
2020-06-26,10,0
2020-06-27,14,0
2020-06-28,10,0
2020-06-29,10,0
2020-06-30,12,0
2020-07-01,10,0
2020-07-02,9,0
2020-07-03,8,0
2020-07-04,9,0
2020-07-05,6,0
2020-07-06,9,0
2020-07-07,7,0
2020-07-08,7,0
2020-07-09,6,0
2020-07-10,9,0
2020-07-11,8,0
2020-07-12,8,0
2020-07-13,15,0
2020-07-14,17,0
2020-07-15,12,0
2020-07-16,12,0
2020-07-17,16,0
2020-07-18,9,0
2020-07-19,12,0
2020-07-20,6,0
2020-07-21,19,0
2020-07-22,15,0
2020-07-23,17,0
2020-07-24,13,0
2020-07-25,25,0
2020-07-26,23,0
2020-07-27,22,0
2020-07-28,17,0
2020-07-29,16,0
2020-07-30,13,0
2020-07-31,19,0
2020-08-01,15,0
2020-08-02,15,0
2020-08-03,10,0
2020-08-04,14,0
2020-08-05,45,0
2020-08-06,14,0
2020-08-07,11,0
2020-08-08,6,0
2020-08-09,8,0
2020-08-10,8,0
2020-08-11,2,0
2020-08-12,1,0
2020-08-13,4,0
2020-08-14,3,0
2020-08-15,3,0
2020-08-16,4,0
2020-08-17,4,0
2020-08-18,4,0
2020-08-19,4,0
2020-08-20,3,0
2020-08-21,5,0
2020-08-22,2,0
2020-08-23,3,0
2020-08-24,2,0
2020-08-25,1,0
2020-08-26,2,0
2020-08-27,3,0
2020-08-28,4,0
2020-08-29,2,0
2020-08-30,2,0
2020-08-31,1,0
2020-09-01,1,0
2020-09-02,2,0
2020-09-03,2,0
2020-09-04,1,0
2020-09-05,1,0
2020-09-06,1,0
2020-09-07,0,0
2020-09-08,2,0
2020-09-09,3,0
2020-09-10,2,0
2020-09-11,3,0
2020-09-12,1,0
2020-09-13,2,0
2020-09-14,2,0
2020-09-15,1,0
2020-09-16,1,0
2020-09-17,0,0
2020-09-18,0,0
2020-09-19,0,0
2020-09-20,0,0
2020-09-21,1,0
2020-09-22,1,0
2020-09-23,0,0
2020-09-24,0,0
2020-09-25,0,0
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,0,0
2020-09-29,0,0
2020-09-30,0,0
2020-10-01,0,0
2020-10-02,0,0
2020-10-03,0,0
2020-10-04,0,0
2020-10-05,0,0
2020-10-06,0,0
2020-10-07,0,0
2020-10-08,0,0
2020-10-09,0,0
2020-10-10,0,0
2020-10-11,0,0
2020-10-12,0,0
2020-10-13,0,0
2020-10-14,0,0
2020-10-15,0,0
2020-10-16,0,0
2020-10-17,0,0
2020-10-18,0,0
2020-10-19,0,0
2020-10-20,0,0
2020-10-21,0,0
2020-10-22,0,0
2020-10-23,0,0
2020-10-24,0,0
2020-10-25,0,0
2020-10-26,0,0
2020-10-27,0,0
2020-10-28,0,0
2020-10-29,0,0
2020-10-30,0,0
2020-10-31,0,0
2020-11-01,0,0
2020-11-02,0,0
2020-11-03,0,0
2020-11-04,0,0
2020-11-05,0,0
2020-11-06,0,0
2020-11-07,0,0
2020-11-08,0,0
2020-11-09,0,0
2020-11-10,0,0
2020-11-11,0,0
2020-11-12,0,0
2020-11-13,0,0
2020-11-14,0,0
2020-11-15,0,0
2020-11-16,0,0
2020-11-17,0,0
2020-11-18,0,0
2020-11-19,0,0
2020-11-20,0,0
2020-11-21,0,0
2020-11-22,0,0
2020-11-23,0,0
2020-11-24,0,0
2020-11-25,0,0
2020-11-26,0,0
2020-11-27,0,0
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
